개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,사무소전화번호,사업장전화번호,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3030000,2001303008706500001,2001-11-06,영업/정상,,,,,,,카스계기,I,2026-03-26 22:53:26,,,,영업중,01,01,,,,서울특별시 노원구 월계동 삼호28-1207  ,2001-11-06 00:00:00
3030000,1997303007406500001,1997-07-18,영업/정상,,,,,,,영신컴퓨터 계량증명업소,I,2026-03-26 22:53:26,서울특별시 성동구 뚝섬로 348 (성수동1가),,,영업중,01,01,,204298.72147172     ,448648.365957558    ,서울특별시 성동구 성수동1가 72번지 94  호,2012-03-16 11:23:57
3030000,2005303007406500001,2005-12-05,제외/삭제/전출,2011-04-14,,,,,,대붕하이텍(주),I,2026-03-26 22:53:26,"서울특별시 성동구 천호대로 448, 401호 (용답동, 대신빌딩)",,,타시군구이관,04,05,,205996.36323681     ,450904.337067925    ,서울특별시 성동구 용답동 236번지 2호 대신빌딩 401호,2012-02-01 09:30:31
3030000,2023303010306500001,2023-05-30,영업/정상,,,,,,04757,세진계량소,I,2026-03-26 22:53:26,"서울특별시 성동구 마장로 316, 세진계량소 (마장동)",,,영업중,01,01,,203853.45270552     ,451620.676579447    ,서울특별시 성동구 마장동 781-14 세진계량소,2023-05-31 17:11:04
3030000,1978303007406500011,1978-04-15,영업/정상,,,,,,,희망계량증명업소,I,2026-03-26 22:53:26,,02-2292-2447,,영업중,01,01,0222922447,203930.337124002    ,451745.115765598    ,서울특별시 성동구 마장동 767번지 45호,2010-07-21 13:37:35
3030000,1989303007406500001,1989-08-30,영업/정상,,,,,133-821,,동양계량증명업소,I,2026-03-26 22:53:26,서울특별시 성동구 성수일로 5 (성수동1가),02-462-8800,,영업중,01,01,024628800,204170.567790864    ,448772.931442652    ,서울특별시 성동구 성수1가1동 656번지 1961호,2012-02-07 11:04:35
3030000,1994303007406500001,1994-10-24,영업/정상,,,,,,,대원계량증명업소,I,2026-03-26 22:53:26,서울특별시 성동구 자동차시장3길 3 (용답동),02-2212-6307,,영업중,01,01,0222126307,205023.444297734    ,451031.23574065     ,서울특별시 성동구 용답동 226번지 7호,2012-02-07 10:51:57
3050000,1978305014006500001,1978-01-08,폐업,2018-11-14,,,,130-863,,이화계기,I,2025-12-15 16:15:28,서울특별시 동대문구 왕산로 167 (제기동),,,폐업,03,03,,203613.502302469    ,453011.94207254     ,서울특별시 동대문구 제기동 654번지,2018-11-14 13:02:28
3060000,2019306017606500001,2019-02-15,폐업,2020-10-27,,,,,02090,유덕공인개량소자원,I,2025-12-15 16:15:28,서울특별시 중랑구 상봉중앙로 47 (상봉동),,,폐업,03,03,,207619.878682721    ,455460.072680834    ,,2020-10-30 08:47:13
3060000,2005306009506500001,2005-09-27,폐업,2008-05-16,,,,131-860,,상봉계량소,I,2025-12-15 16:15:28,서울특별시 중랑구 면목로85길 44 (상봉동),,,폐업,03,03,,207335.352175933    ,454516.582188775    ,서울특별시 중랑구 상봉동 110번지 39호,2011-10-30 14:57:47
3070000,2007307013406500001,2007-06-08,폐업,2014-08-04,,,,136-826,,장위데이타시스템(주),I,2025-12-15 16:15:28,서울특별시 성북구 한천로 615 (장위동),02-911-1002,,폐업,03,03,029111002,205189.250841633    ,456814.72353389     ,서울특별시 성북구 장위3동 44번지,2014-08-04 16:32:26
3070000,2002307009906500001,2002-12-30,폐업,2004-05-24,,,,,,카스전자저울강북점,I,2025-12-15 16:15:28,,02-929-6871,,폐업,03,03,029296871,202675.702772107    ,455690.265059608    ,서울특별시 성북구 종암동 124번지 26호,2008-02-25 16:06:13
3070000,1985307009906500001,1985-03-04,폐업,,,,,,,공신계량증명업소,I,2025-12-15 16:15:28,,,,폐업,03,03,,203502.701749917    ,455244.064934191    ,서울특별시 성북구 종암동 1번지 3   호,2011-07-12 09:42:01
3080000,1994308007506500006,1994-08-08,제외/삭제/전출,,,,,,,성광사,I,2026-01-08 16:25:20,서울특별시 강북구 솔샘로67길 33 (미아동),02-995-1198,,타시군구이관,04,05,029951198,202396.236088411    ,457398.117890699    ,서울특별시 강북구 미아동 330번지 79 호,2013-06-11 15:13:11
3080000,2002308007506500001,2002-03-25,제외/삭제/전출,,,,,142-070,,정상계기사,I,2026-01-08 16:25:20,,,,타시군구이관,04,05,,,,서울특별시 강북구 수유동,2022-08-03 15:11:33
3090000,2003309008706500001,2003-03-06,취소/말소/만료/정지/중지,,,,,,,기린전자,I,2025-12-15 16:15:28,,,,직권말소,05,04,,203669.142410867    ,461292.646459301    ,서울특별시 도봉구 창동 299번지,2021-08-04 13:07:34
3100000,2005310010906500001,2009-10-01,영업/정상,,,,,,01685,이시다 전자유통,I,2025-12-15 16:15:28,서울특별시 노원구 상계로9나길 33 (상계동),20911637,,영업중,01,01,20911637,205840.98290702     ,462063.451625201    ,서울특별시 노원구 상계동 407번지 12호,2018-11-19 10:01:46
3110000,1982311013106508284,1982-08-02,폐업,2011-04-20,,,,122-100,,서부계량증명소,I,2025-12-15 16:15:28,서울특별시 은평구 증산로 233 (증산동),,,폐업,03,03,,191500.713460811    ,453025.939659905    ,서울특별시 은평구 증산동 179번지 2호,2011-04-22 13:42:57
3110000,2001311008806500001,1981-05-18,영업/정상,,,,,,,신흥게량증명업소,I,2025-12-15 16:15:28,서울특별시 은평구 응암로 360 (녹번동),,,영업중,01,01,,193111.201618364    ,455658.582861694    ,서울특별시 은평구 녹번동 159번지 35  호,2012-01-31 08:50:45
3150000,1990315010006585122,1990-01-24,폐업,2005-08-09,,,,,,삼보계량증명업소,I,2025-12-15 16:15:28,,02-2648-2215,,폐업,03,03,0226482215,,,서울특별시 강서구 외발산동 174번지 1   호,2008-01-09 12:56:47
3150000,1999315010006500001,1999-10-29,폐업,2009-09-23,,,,157-210,,(주)청석공영,I,2025-12-15 16:15:28,,02-3662-0404,,폐업,03,03,0236620404,,,서울특별시 강서구 마곡동 25번지 9호,2009-11-17 14:32:08
3150000,2001315007406509701,1997-01-09,폐업,2001-08-13,,,,,,한성 계량기,I,2025-12-15 16:15:28,서울특별시 강서구 양천로26길 87 (방화동),02-2664-9855,,폐업,03,03,0226649855,184155.221440462    ,452274.323631885    ,서울특별시 강서구 방화동 189번지 19호,2008-01-09 11:35:19
3150000,2002315007406500210,2002-10-16,폐업,2006-01-16,,,,,,주)우수이엔지,I,2025-12-15 16:15:28,서울특별시 강서구 방화대로7나길 22 (공항동),02-662-9599,,폐업,03,03,026629599,183540.041418462    ,450499.224093518    ,서울특별시 강서구 공항동 664번지 9   호,2008-01-09 12:52:46
3150000,2002315007406501120,2002-11-20,폐업,2008-04-21,,,,,,우대자원,I,2025-12-15 16:15:28,서울특별시 강서구 까치산로 97 (화곡동),02-2608-8332,,폐업,03,03,0226088332,186528.678278061    ,449428.891039568    ,서울특별시 강서구 화곡동 29번지 26  호,2021-06-08 14:04:12
3150000,2003315007406549603,2003-04-29,폐업,2008-01-09,,,,,,신우계기(주),I,2025-12-15 16:15:28,"서울특별시 강서구 공항대로59다길 9 (등촌동,1층)",02-3661-8231,,폐업,03,03,0236618231,187928.374617421    ,450168.803716398    ,서울특별시 강서구 등촌동 634번지 14호 1층,2008-01-09 12:47:35
3150000,1998315010006514986,1998-06-18,영업/정상,,,,,,,서울NET(주),I,2025-12-15 16:15:28,서울특별시 강서구 금낭화로26가길 152-78 (개화동),02-2666-2201,,영업중,01,01,0226662201,183417.521668325    ,453742.437420801    ,서울특별시 강서구 개화동 319번지 7   호,2019-12-05 13:14:20
3150000,2002315007406514951,1995-04-12,영업/정상,,,,,,,동림자원(주),I,2025-12-15 16:15:28,,02-662-5310,,영업중,01,01,026625310,,,서울특별시 강서구 공항동 9번지 7  호   ,1995-04-12 00:00:00
3150000,2011315012306500001,2011-06-07,영업/정상,,,,,157-270,,정원 공인계량기증명업소,I,2025-12-15 16:15:28,서울특별시 강서구 대장로 39 (오쇠동),,,영업중,01,01,,181981.08994009     ,448700.221514367    ,서울특별시 강서구 오쇠동 157번지 5호,2011-06-10 09:23:08
3150000,2003315007406500987,2003-03-10,영업/정상,,,,,,,(주)팬코스,I,2025-12-15 16:15:28,,02-3661-7668,,영업중,01,01,0236617668,,,서울특별시 강서구 등촌동 630번지 17  호,2021-07-14 10:12:12
3150000,2014315014506500003,2014-12-11,영업/정상,,,,,157-818,,공항계량소,I,2025-12-15 16:15:28,서울특별시 강서구 송정로1길 9 (공항동),02-2665-5604,,영업중,01,01,0226655604,183297.372456366    ,450427.977374108    ,서울특별시 강서구 공항동 687번지 13호,2014-12-12 08:57:34
3150000,2002315007406504954,2002-11-20,폐업,,,,,,,우대자원,I,2025-12-15 16:15:28,서울특별시 강서구 까치산로 97 (화곡동),02-2608-8332,,폐업,03,03,0226088332,186528.678278061    ,449428.891039568    ,서울특별시 강서구 화곡동 29번지 26호,2018-12-26 11:16:16
3150000,2025315020006500003,2025-08-08,취소/말소/만료/정지/중지,,,,,,11426,대흥에코 유한책임회사,I,2025-12-15 16:15:28,"경기도 양주시 은현면 운하로289번길 330, 2층",02-2662-0041,,등록취소,06,04,0226620041,203419.365474958    ,488001.937017599    ,경기도 양주시 은현면 하패리 446-1,2025-08-08 09:55:50
3150000,2025315020006500004,2025-09-23,영업/정상,,,,,,,주식회사 이박스,I,2025-12-15 16:15:28,,02-2663-2413,,영업중,01,01,0226632413,183277.980970251    ,453742.707531511    ,"서울특별시 강서구 개화동 305-2 ,3,4,5,6,7,9호",2025-09-23 17:40:10
3160000,2011316017406500002,2011-07-04,폐업,2012-06-29,,,,151-852,,3공단 계량증명업소,I,2025-12-15 16:15:28,"서울특별시 관악구 신림로58길 62-5, 4층동 401호 (신림동,신안아파트5동)",,,폐업,03,03,,194055.320380735    ,442185.734017219    ,서울특별시 관악구 신림동 10번지 10호 24통 8반 신안아파트5동 4층동 401호,2014-04-11 10:16:41
3160000,2005316009306500001,2005-01-24,제외/삭제/전출,,,,,,,주식회사 엑시스센시티브,I,2025-12-15 16:15:28,"서울특별시 구로구 디지털로 285 (구로동,에이스트윈타워 1차 406호)",02-2686-6943,,타시군구이관,04,05,0226866943,190600.90000919     ,442482.539047835    ,서울특별시 구로구 구로동 212번지 1호 에이스트윈타워 1차 406호,2021-09-06 14:52:36
3160000,2000700001006500001,2000-12-22,영업/정상,,,,,,,계량기,I,2025-12-15 16:15:28,,55555555,,영업중,01,01,55555555,,,   1번지   ,2000-12-22 00:00:00
3160000,1985316015906500002,1985-07-15,영업/정상,,,,,,08356,오류계량증명업소,I,2025-12-15 16:15:28,서울특별시 구로구 경인로 103 (오류동),26827454,,영업중,01,01,26827454,185214.672895845    ,443353.037243546    ,,2021-05-04 10:43:10
3160000,2002316007106500003,2002-03-16,취소/말소/만료/정지/중지,2009-11-30,,,,,08227,(주)카스중앙점,I,2025-12-15 16:15:28,"서울특별시 구로구 경인로43길 42, 고척산업용품종합상가 가동 바열 111호 가동 (고척동)",,,직권말소,05,04,,187619.596959162    ,444186.923109714    ,서울특별시 구로구 고척동 103-4 고척산업용품종합상가 가동 111호,2021-09-13 13:18:02
3160000,1995100000006500001,1995-02-27,폐업,2010-11-09,,,,152-070,,충남상회,I,2025-12-15 16:15:28,서울특별시 구로구 신도림로11라길 41 (신도림동),,,폐업,03,03,,189299.607993939    ,445421.862123149    ,서울특별시 구로구 신도림동 280번지 4호,2011-02-22 16:51:38
3160000,1982316017406500003,1982-07-26,취소/말소/만료/정지/중지,2012-12-31,,,,152-905,,온수믿음계량증명업소,I,2025-12-15 16:15:28,서울특별시 구로구 부일로1길 18 (온수동),02-2619-3121,,직권말소,05,04,0226193121,,,서울특별시 구로구 온수동 23번지 7호,2021-09-13 13:15:26
3160000,2011316017406500001,2011-07-01,폐업,2012-06-29,,,,152-869,,3공단 계량증명업소,I,2025-12-15 16:15:28,"서울특별시 구로구 남부순환로 1082-72 (구로동, 108호)",02-867-5731,,폐업,03,03,028675731,189099.074254977    ,442732.739267766    ,서울특별시 구로구 구로1동 701번지 16호  108호,2014-04-11 10:17:32
3160000,2006316009306500002,2006-06-07,폐업,2013-09-16,,,,,,태경스텐,I,2025-12-15 16:15:28,,02-2686-2346,,폐업,03,03,0226862346,184457.962187767    ,443456.805403774    ,서울특별시 구로구 온수동 9번지,2014-04-11 10:15:31
3160000,2006316009306500001,2006-05-25,폐업,2013-09-16,,,,,,태경스텐,I,2025-12-15 16:15:28,,02-2686-2346,,폐업,03,03,0226862346,184457.962187767    ,443456.805403774    ,서울특별시 구로구 온수동 9번지,2014-04-11 10:16:07
3160000,2000316009306500854,2000-07-13,폐업,2006-05-26,,,,,,공단계량소,I,2025-12-15 16:15:28,,02-2634-8130,,폐업,03,03,0226348130,184457.962187767    ,443456.805403774    ,서울특별시 구로구 온수동 9번지,2021-07-26 10:58:24
3160000,1984316017406500001,1984-05-09,폐업,,,,,152-869,,3공단 계량증명업소,I,2025-12-15 16:15:28,"서울특별시 구로구 남부순환로 1082-72 (구로동,108)",02-867-5731,,폐업,03,03,028675731,189099.074254977    ,442732.739267766    ,서울특별시 구로구 구로1동 701번지 16호 108,2011-07-12 16:41:02
3170000,2001317006706500004,1998-09-05,영업/정상,,,,,,,진화계량소,I,2025-12-15 16:15:28,서울특별시 금천구 시흥대로 56 (시흥동),02-802-3273,,영업중,01,01,028023273,191402.002155519    ,437427.302050908    ,서울특별시 금천구 시흥동 962번지   ,1998-09-05 00:00:00
3170000,2001317006706500002,1987-09-05,영업/정상,,,,,,,유한계량증명업소,I,2025-12-15 16:15:28,서울특별시 금천구 벚꽃로 158-1 (독산동),02-804-0061,,영업중,01,01,028040061,190068.472981805    ,440794.914845529    ,서울특별시 금천구 독산동 1000번지   ,1987-09-05 00:00:00
3170000,2001317006706500001,1987-05-27,영업/정상,,,,,,,중앙계량증명업소,I,2025-12-15 16:15:28,서울특별시 금천구 시흥대로2나길 28 (시흥동),02-805-1618,,영업중,01,01,028051618,191552.706630393    ,437099.172901614    ,서울특별시 금천구 시흥동 972번지,2011-08-26 11:01:11
3170000,2001317006706500003,1988-03-22,폐업,2008-04-25,,,,,,협신계량증명업소,I,2025-12-15 16:15:28,서울특별시 금천구 시흥대로 398 (독산동),02-868-8900,,폐업,03,03,028688900,190946.406293395    ,440804.121410146    ,서울특별시 금천구 독산동 1012번지,2014-03-24 15:03:43
3170000,1987317008306500002,1987-06-19,영업/정상,,,,,,,신한메카트로닉스,I,2025-12-15 16:15:28,서울특별시 금천구 가마산로 74 (가산동),02-865-9194,,영업중,01,01,028659194,188850.985987555    ,442545.943642983    ,서울특별시 금천구 가산동 535번지 128 호,2021-07-08 14:26:53
3170000,2001317006706500000,1983-11-24,영업/정상,,,,,,,독산계량증명업소,I,2025-12-15 16:15:28,서울특별시 금천구 두산로 60 (독산동),02-893-8219,,영업중,01,01,028938219,190598.259863421    ,440872.100835433    ,서울특별시 금천구 독산동 300번지 25호   ,1983-11-24 00:00:00
3180000,2006318007606500001,2006-03-21,폐업,2008-08-13,,,,,,대운상사,I,2026-03-11 01:46:52,서울특별시 영등포구 경인로 794-1 (문래동1가),02-2677-5472,,폐업,03,03,0226775472,191225.015470255    ,445795.095264232    ,서울특별시 영등포구 문래동1가 20번지 9호,2008-08-13 15:53:58
3180000,2000318007606500009,1999-11-20,폐업,2008-02-21,,,,,,대청계량증명업소,I,2026-03-11 01:46:52,서울특별시 영등포구 가마산로 328 (대림동),02-843-6682,,폐업,03,03,028436682,190712.446581534    ,444042.912673113    ,서울특별시 영등포구 대림동 776번지 3호,2008-02-21 18:50:02
3180000,1982318007606500005,1982-03-15,폐업,2001-02-01,,,,,,신진계량증명업소,I,2026-03-11 01:46:52,서울특별시 영등포구 선유로 227 (양평동4가),02-676-2688,,폐업,03,03,026762688,190644.608657423    ,447941.191428784    ,서울특별시 영등포구 양평동4가 10번지,2008-02-15 15:15:04
3180000,2012318016306500001,2012-08-24,폐업,2014-02-13,,,,150-106,,아산 공인계량소,I,2026-03-11 01:46:52,"서울특별시 영등포구 양평로30길 30, 1층 (양평동6가)",26718487,,폐업,03,03,26718487,190096.967490213    ,448923.661413114    ,서울특별시 영등포구 양평동6가 82번지 2호,2014-02-13 14:59:15
3190000,2012319012806500001,2006-11-16,제외/삭제/전출,2014-04-14,,,,156-879,,백산엔지니어링,I,2025-12-15 16:15:28,서울특별시 동작구 사당로4길 7 (사당동),32853710,,타시군구이관,04,05,32853710,196954.907342452    ,442780.982198106    ,서울특별시 동작구 사당5동 206번지 43호,2014-04-14 11:52:58
3190000,2001319007206500001,2001-03-09,영업/정상,,,,,,,(주)다우이엔지,I,2025-12-15 16:15:28,서울특별시 동작구 상도로38길 95-6 (상도동),02-826-6044,,영업중,01,01,028266044,195420.878625094    ,444217.966741978    ,서울특별시 동작구 상도동 159번지 197 호,2018-11-16 11:28:34
3210000,1997321007606500001,2012-01-18,영업/정상,,,,,,,양재계량소,I,2025-12-15 16:15:28,,,,,BBBB,01,,,,서울특별시 서초구 내곡동 142번지 3   호,2012-01-18 10:51:08
3210000,1992321007606500004,1992-05-06,영업/정상,,,,,,,(주)운성철강,I,2025-12-15 16:15:28,,,,,BBBB,01,,202984.831886729    ,440405.225542776    ,서울특별시 서초구 양재동 203번지 7   호,2012-01-18 10:51:24
3220000,2002322008306500001,2002-05-01,폐업,2011-06-30,,,,,,대붕하이텍주식회사,I,2025-12-15 16:15:28,,02-518-2651,,폐업,03,03,025182651,202793.603418915    ,445918.996980355    ,서울특별시 강남구 논현동 82번지 20호 삼향빌딩 201호,2021-07-21 11:10:06
3260000,2002326004906500002,2002-12-07,폐업,,,,,,,동대주유소,I,2025-12-15 16:15:28,부산광역시 서구 보수대로 169 (동대신동1가),051-0256-2171,,폐업,03,03,05102562171,384257.687140844    ,180920.413448469    ,부산광역시 서구 동대신동1가 181번지,2018-06-14 13:49:31
3260000,2008326006606500001,2008-10-27,영업/정상,,,,,602-030,49276,한국원양산업협회 부산지부,I,2025-12-15 16:15:28,부산광역시 서구 원양로 118 (암남동),051-253-3391,,영업중,01,01,0512533391,382961.554972382    ,176770.441373361    ,부산광역시 서구 암남동 645번지 29호,2024-06-24 10:50:17
3270000,2000327001406500002,1987-02-14,폐업,2015-11-24,,,,601-837,,우창계량증명업소,I,2025-12-15 16:15:28,부산광역시 동구 충장대로 117 (초량동),051-464-7766,,폐업,03,03,0514647766,386114.750206718    ,181232.205482645    ,부산광역시 동구 초량3동 1185번지 37호,2015-11-25 10:09:06
3270000,2000327001406500001,1980-02-27,영업/정상,,,,,601-805,,항만계량사,I,2025-12-15 16:15:28,부산광역시 동구 범일로 3 (범일동),051-645-7778,,영업중,01,01,0516457778,387657.803547626    ,183184.496610501    ,부산광역시 동구 범일5동 252번지 1721호,2020-08-11 17:22:35
3280000,2018328009206500001,2018-08-08,영업/정상,,,,,,49048,형제자원,I,2025-12-15 16:15:28,부산광역시 영도구 남항남로9번길 26 (남항동3가),,,영업중,01,01,,385618.319280486    ,178305.429213834    ,부산광역시 영도구 남항동3가 31번지 2호,2018-08-08 10:48:36
3280000,2008328007006500001,2008-05-09,영업/정상,,,,,606-033,,세명상사,I,2025-12-15 16:15:28,부산광역시 영도구 남항서로 57 (남항동3가),051-417-5793,,영업중,01,01,0514175793,385459.910328907    ,178220.126008784    ,부산광역시 영도구 남항동3가 24번지 2호,2016-04-28 10:01:25
3280000,2000328001506500002,1991-05-20,폐업,2020-07-06,,,,606-823,,청학계량사,I,2025-12-15 16:15:28,부산광역시 영도구 태종로292번길 9-6 (청학동),051-417-0269,,폐업,03,03,0514170269,387570.528593937    ,179533.948856917    ,부산광역시 영도구 청학1동 345번지,2020-07-06 17:30:12
3290000,2000329001306500001,2000-09-19,폐업,2008-01-17,,,,,,태창계량증명업,I,2025-12-15 16:15:28,,051-0643-6143,,폐업,03,03,05106436143,,,부산광역시 부산진구 범천동 842-36번지,2008-01-17 16:42:14
3290000,2000329000006500001,1999-12-16,폐업,2004-01-02,,,,614-868,,전포계량사,I,2025-12-15 16:15:28,,051-805-9376,,폐업,03,03,0518059376,,,부산광역시 부산진구 전포동 890번지 36호,2008-08-14 11:44:18
3290000,2001329001306500001,2001-06-14,폐업,2006-11-07,,,,,,백선공인계량,I,2025-12-15 16:15:28,부산광역시 부산진구 당감서로 49 (당감동),051-0894-8801,,폐업,03,03,05108948801,385498.889614761    ,186980.608281564    ,부산광역시 부산진구 당감동 382번지,2011-10-30 15:00:21
3300000,2002330001606500019,1986-01-18,폐업,2012-05-29,,,,607-801,,원일계량증명업소,I,2025-12-15 16:15:28,부산광역시 동래구 온천천로 357 (낙민동),,,폐업,03,03,,390496.578975981    ,190293.416799196    ,부산광역시 동래구 낙민동 82번지 12호,2012-06-11 10:41:05
3300000,1997330001606500004,1997-10-26,폐업,2007-03-20,,,,,,안락계량증명업소,I,2025-12-15 16:15:28,부산광역시 동래구 충렬대로348번길 8 (안락동),051-523-2243,,폐업,03,03,0515232243,390812.442908905    ,190703.98902304     ,부산광역시 동래구 안락동 769-8번지,2011-11-18 14:11:47
3300000,2002330001606500018,1985-06-17,폐업,2002-11-04,,,,,,부산계량증명업소,I,2025-12-15 16:15:28,,051-524-0123,,폐업,03,03,0515240123,,,부산광역시 동래구 안락동 751-8번지,2011-11-18 14:09:42
3300000,2000330001606500001,2000-10-13,폐업,2009-11-23,,,,,,대상컴퓨터계량사,I,2025-12-15 16:15:28,부산광역시 동래구 여고로 57 (사직동),051-502-0509,,폐업,03,03,0515020509,388457.076489386    ,190526.80519781     ,부산광역시 동래구 사직동 129-7번지,2011-11-18 14:10:53
3310000,1992331000006500002,1992-01-13,폐업,2000-07-05,,,,,,삼일컴퓨터계량사,I,2025-12-15 16:15:28,부산광역시 남구 신선로 414 (용당동),051-622-7893,,폐업,03,03,0516227893,391291.883780758    ,182350.887086241    ,부산광역시 남구 용당동 479번지 1   호,2024-07-26 09:42:26
3310000,1984331000006500001,1984-08-17,폐업,2007-12-27,,,,,,부두계량사,I,2025-12-15 16:15:28,,051-632-3307,,폐업,03,03,0516323307,388430.634909209    ,182875.426639169    ,부산광역시 남구 문현동 1219번지,2010-10-05 14:56:03
3310000,2008331008206500001,2008-11-25,영업/정상,,,,,,48561,내트럭(주)부산사업소,I,2025-12-15 16:15:28,"부산광역시 남구 신선로 168, SK부산항화물차휴게소 (감만동)",051-638-3974,,영업중,01,01,0516383974,389703.194538683    ,180970.856108444    ,부산광역시 남구 감만동 498-17 SK부산항화물차휴게소,2025-04-11 09:13:57
3310000,2012331008206500001,2012-11-20,영업/정상,,,,,608-080,,내트럭(주)부산용당사업소,I,2025-12-15 16:15:28,부산광역시 남구 신선로 261 (용당동),051-931-8001,,영업중,01,01,0519318001,390807.628200494    ,181223.764821624    ,부산광역시 남구 용당동 168번지 1호,2025-04-15 13:57:36
3310000,2009331008206500001,2009-08-26,폐업,2011-09-30,,,,608-080,,(주)밸런스인더스트리,I,2025-12-15 16:15:28,,051-625-8729,,폐업,03,03,0516258729,391046.946551316    ,181436.845230626    ,부산광역시 남구 용당동 161번지 3호,2011-10-04 15:59:08
3310000,1999331008206500002,1999-12-03,폐업,2014-07-21,,,,608-810,,새한계기,I,2025-12-15 16:15:28,부산광역시 남구 유엔평화로47번길 132 (대연동),051-621-5589,,폐업,03,03,0516215589,391294.486045869    ,183289.352833493    ,부산광역시 남구 대연3동 569번지 7호,2017-04-05 13:18:52
3310000,2004331001606500001,2004-01-15,폐업,2004-05-03,,,,,,제일계량,I,2025-12-15 16:15:28,,051-621-8902,,폐업,03,03,0516218902,,,부산광역시 남구 대연동 335-17번지,2010-10-05 14:53:17
3320000,1981332000006500001,1981-05-16,폐업,2020-10-15,,,,,,구포계량증명업소,I,2025-12-15 16:15:28,부산광역시 북구 금곡대로 35 (덕천동),051-332-5820,,폐업,03,03,0513325820,382399.297462368    ,192271.133674863    ,부산광역시 북구 덕천동 330번지 2   호,2020-10-16 09:22:24
3320000,1990332000006500016,1990-03-10,폐업,2020-10-05,2020-01-01,2999-09-09,,,,(주)삼보계량증명업소,I,2025-12-15 16:15:28,부산광역시 북구 만덕대로 327 (만덕동),051-336-2000,,폐업,03,03,0513362000,385732.510758203    ,192394.067303878    ,부산광역시 북구 만덕동 산19번지 5   호,2020-10-05 17:14:39
3340000,2012334008006500001,2012-04-18,폐업,2016-09-30,,,,604-060,,동명계량사,I,2026-03-11 01:46:49,부산광역시 사하구 감천항로 153 (구평동),051-0262-2744,,폐업,03,03,05102622744,381478.267312398    ,177391.455047097    ,부산광역시 사하구 구평동 178번지 11호,2016-10-04 13:12:23
